"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2024-01-01T02:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",87.02,"provisorisch"
"2024-01-01T02:00+0100","Zch_Schimmelstrasse","p","h1","hPa",963.86,"provisorisch"
"2024-01-01T02:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"provisorisch"
"2024-01-01T02:00+0100","Zch_Schimmelstrasse","WD","h1","°",198.37,"provisorisch"
"2024-01-01T02:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.01,"provisorisch"
"2024-01-01T02:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",0.95,"provisorisch"
"2024-01-01T02:00+0100","Zch_Rosengartenstrasse","T","h1","°C",4.76,"provisorisch"
"2024-01-01T02:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",79.28,"provisorisch"
"2024-01-01T02:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",961.53,"provisorisch"
"2024-01-01T02:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",0,"provisorisch"
"2024-01-01T02:00+0100","Zch_Rosengartenstrasse","WD","h1","°",216.3,"provisorisch"
"2024-01-01T02:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.55,"provisorisch"
"2024-01-01T02:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.6,"provisorisch"
"2024-01-01T03:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",5.27,"provisorisch"
"2024-01-01T03:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",74.98,"provisorisch"
"2024-01-01T03:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",961.86,"provisorisch"
"2024-01-01T03:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",23.98,"provisorisch"
"2024-01-01T03:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",0.02,"provisorisch"
"2024-01-01T03:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",264.92,"provisorisch"
"2024-01-01T03:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",1.68,"provisorisch"
"2024-01-01T03:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",2.15,"provisorisch"
"2024-01-01T03:00+0100","Zch_Schimmelstrasse","T","h1","°C",5.14,"provisorisch"
"2024-01-01T03:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",90.83,"provisorisch"
"2024-01-01T03:00+0100","Zch_Schimmelstrasse","p","h1","hPa",964.36,"provisorisch"
"2024-01-01T03:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",16.95,"provisorisch"
"2024-01-01T03:00+0100","Zch_Schimmelstrasse","WD","h1","°",2.14,"provisorisch"
"2024-01-01T03:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.19,"provisorisch"
"2024-01-01T03:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",0.65,"provisorisch"
"2024-01-01T03:00+0100","Zch_Rosengartenstrasse","T","h1","°C",4.92,"provisorisch"
"2024-01-01T03:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",80.19,"provisorisch"
"2024-01-01T03:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",962.1,"provisorisch"
"2024-01-01T03:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",22.1,"provisorisch"
"2024-01-01T03:00+0100","Zch_Rosengartenstrasse","WD","h1","°",196.67,"provisorisch"
"2024-01-01T03:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.21,"provisorisch"
"2024-01-01T03:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.39,"provisorisch"
"2024-01-01T04:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",5.13,"provisorisch"
"2024-01-01T04:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",80.7,"provisorisch"
"2024-01-01T04:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",962.33,"provisorisch"
"2024-01-01T04:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",32.13,"provisorisch"
"2024-01-01T04:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",0.02,"provisorisch"
"2024-01-01T04:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",243.86,"provisorisch"
"2024-01-01T04:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",3.52,"provisorisch"
"2024-01-01T04:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",3.62,"provisorisch"
"2024-01-01T04:00+0100","Zch_Schimmelstrasse","T","h1","°C",4.98,"provisorisch"
"2024-01-01T04:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",94.39,"provisorisch"
"2024-01-01T04:00+0100","Zch_Schimmelstrasse","p","h1","hPa",964.9,"provisorisch"
"2024-01-01T04:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",40.38,"provisorisch"
"2024-01-01T04:00+0100","Zch_Schimmelstrasse","WD","h1","°",140.81,"provisorisch"
"2024-01-01T04:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.83,"provisorisch"
"2024-01-01T04:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",1.43,"provisorisch"
"2024-01-01T04:00+0100","Zch_Rosengartenstrasse","T","h1","°C",4.83,"provisorisch"
"2024-01-01T04:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",86.92,"provisorisch"
"2024-01-01T04:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",962.56,"provisorisch"
"2024-01-01T04:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",24.85,"provisorisch"
"2024-01-01T04:00+0100","Zch_Rosengartenstrasse","WD","h1","°",215.42,"provisorisch"
"2024-01-01T04:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.82,"provisorisch"
"2024-01-01T04:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.91,"provisorisch"
"2024-01-01T05:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",5.45,"provisorisch"
"2024-01-01T05:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",76.06,"provisorisch"
"2024-01-01T05:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",962.37,"provisorisch"
"2024-01-01T05:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",0,"provisorisch"
"2024-01-01T05:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",0.02,"provisorisch"
"2024-01-01T05:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",223.77,"provisorisch"
"2024-01-01T05:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",3.02,"provisorisch"
"2024-01-01T05:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",3.31,"provisorisch"
"2024-01-01T05:00+0100","Zch_Schimmelstrasse","T","h1","°C",5.26,"provisorisch"
"2024-01-01T05:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",91.15,"provisorisch"
"2024-01-01T05:00+0100","Zch_Schimmelstrasse","p","h1","hPa",964.9,"provisorisch"
"2024-01-01T05:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"provisorisch"
"2024-01-01T05:00+0100","Zch_Schimmelstrasse","WD","h1","°",130.86,"provisorisch"
"2024-01-01T05:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.23,"provisorisch"
"2024-01-01T05:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",1.08,"provisorisch"
"2024-01-01T05:00+0100","Zch_Rosengartenstrasse","T","h1","°C",4.82,"provisorisch"
"2024-01-01T05:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",83.81,"provisorisch"
"2024-01-01T05:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",962.7,"provisorisch"
"2024-01-01T05:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",0,"provisorisch"
"2024-01-01T05:00+0100","Zch_Rosengartenstrasse","WD","h1","°",217.97,"provisorisch"
"2024-01-01T05:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.47,"provisorisch"
"2024-01-01T05:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.65,"provisorisch"
"2024-01-01T06:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",5.53,"provisorisch"
"2024-01-01T06:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",73.42,"provisorisch"
"2024-01-01T06:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",962.66,"provisorisch"
"2024-01-01T06:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",0,"provisorisch"
"2024-01-01T06:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",0.01,"provisorisch"
"2024-01-01T06:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",242.55,"provisorisch"
"2024-01-01T06:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",2.76,"provisorisch"
"2024-01-01T06:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",2.88,"provisorisch"
"2024-01-01T06:00+0100","Zch_Schimmelstrasse","T","h1","°C",5.54,"provisorisch"
"2024-01-01T06:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",87.04,"provisorisch"
"2024-01-01T06:00+0100","Zch_Schimmelstrasse","p","h1","hPa",965.22,"provisorisch"
"2024-01-01T06:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0.02,"provisorisch"
"2024-01-01T06:00+0100","Zch_Schimmelstrasse","WD","h1","°",85.69,"provisorisch"
"2024-01-01T06:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.06,"provisorisch"
"2024-01-01T06:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",1,"provisorisch"
"2024-01-01T06:00+0100","Zch_Rosengartenstrasse","T","h1","°C",5.1,"provisorisch"
"2024-01-01T06:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",81.16,"provisorisch"
"2024-01-01T06:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",962.99,"provisorisch"
"2024-01-01T06:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",0,"provisorisch"
"2024-01-01T06:00+0100","Zch_Rosengartenstrasse","WD","h1","°",206.6,"provisorisch"
"2024-01-01T06:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.36,"provisorisch"
"2024-01-01T06:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.48,"provisorisch"
"2024-01-01T07:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",5.69,"provisorisch"
"2024-01-01T07:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",71.16,"provisorisch"
"2024-01-01T07:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",962.74,"provisorisch"
"2024-01-01T07:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",0,"provisorisch"
"2024-01-01T07:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",0.01,"provisorisch"
